title,company,location,datePosted,workplaceModel,employmentType,salary,description,extractedSkills,extractedQualifications,extractedConstraints,category,visaEligible,source,applyUrl
Artificial Intelligence Intern [IDA:00029],Aumovio,Singapore 339780,,,Full-time,,"Company Description Since its spin-off in September 2025 AUMOVIO continues the business of the former Continental group sector Automotive as an independent company. The technology and electronics company offers a wide-ranging portfolio that makes mobility safe, exciting, connected, and autonomous. This includes sensor solutions, displays, braking and comfort systems as well as comprehensive expertise in software, architecture platforms, and assistance systems for software-defined vehicles. In the fiscal year 2024 the business areas, which now belong to AUMOVIO, generated sales of 19.6 billion Euro. The company is headquartered in Frankfurt, Germany and has about 87.000 employees in more than 100 locations worldwide. Job Description Primary Goals: Develop an Agentic AI framework to standardize requirements expressed in natural language. Explore and implement methodologies to enhance the effectiveness and efficiency of requirement normalization using Agentic AI. Evaluate the performance of the developed model through rigorous testing and comparison with existing methods. Explore and implement methods to make open-source LLMs assist in requirement domain-specific generation, including data pre-processing, model-finetuning, etc. Document the project findings and present them in a clear and comprehensible manner. This internship provides an excellent opportunity for talented individuals passionate about Artificial Intelligence, Generative AI, Agentic AI, and Prompt Tuning. As a part of our team, you will collaborate with experienced practitioners and researchers, gain practical experience in state-of-the-art technologies, and contribute to pioneering research in the field of Generative AI assisted by Agentic AI. Activities: Research and understand the principles and applications of Generative AI, with a focus on Agentic AI. Design and implement an Agentic AI framework and Generative AI model capable of normalizing requirements expressed in various forms of natural language. Develop methods to assist and augment the knowledge retrieval from multiple sources and associated generation (Retrieval Augmented Generation). Collect and preprocess a diverse dataset of requirements for training and evaluation purposes. Fine-tune the LLM parameters and optimize its performance through iterative experimentation. Develop evaluation metrics and conduct thorough testing to assess the effectiveness and efficiency of the model. Document the project progress, methodologies, and results in a comprehensive report. Prepare and deliver presentations to communicate the project findings to stakeholders. Qualifications Requirements: Currently enrolled as an undergraduate or master's student in Computer Science, Data Science, Machine Learning, Robotics, or a related field. A strong academic record with coursework in artificial intelligence, deep learning, or NLP is preferred. Proficiency in machine learning and natural language processing techniques. Familiarity with Generative AI models, particularly Agentic AI, is highly desirable. Prior experience with libraries like LangChain, LangGraph, gradio, streamlit is a plus. Prior experience with storage and retrieval from vector DBs is a plus. Strong programming skills in languages such as Python. Experience with implementing machine learning algorithms or NLP projects in academic or otherwise is advantageous. Experience with deep learning frameworks such as TensorFlow or PyTorch. Ability to work independently and collaboratively in a dynamic team environment. Excellent communication skills, both written and verbal. Prior experience with AI-related projects or research is a plus. This project offers a unique opportunity to apply cutting-edge AI techniques to address real-world challenges in requirements engineering. The successful candidate will have the chance to make significant contributions to the field of Generative AI while gaining valuable experience and skills in advanced machine learning methodologies. Additional Information Ready to take your career to the next level? The future of mobility isn't just anyone's job. Make it yours! Join AUMOVIO. Own What's Next.","[""Machine Learning"", ""Nlp"", ""Python""]","[""Currently enrolled as an undergraduate or master's student in Computer Science, Data Science, Machine Learning, Robotics, or a related field."", ""Strong academic record with coursework in artificial intelligence, deep learning, or NLP"", ""Proficiency in machine learning and natural language processing techniques"", ""Familiarity with Generative AI models, particularly Agentic AI, is highly desirable"", ""Prior experience with libraries like LangChain, LangGraph, gradio, streamlit is a plus"", ""Strong programming skills in languages such as Python""]","[""Currently enrolled as an undergraduate or master's student"", ""Prior experience with AI-related projects or research is a plus"", ""Ability to work independently and collaboratively in a dynamic team environment""]","Artificial Intelligence, Generative AI",Unknown,indeed,
Cybersecurity Tester Intern [IDA: 00055],Aumovio,Singapore 339780,,,Full-time,,"Company Description Since its spin-off in September 2025 AUMOVIO continues the business of the former Continental group sector Automotive as an independent company. The technology and electronics company offers a wide-ranging portfolio that makes mobility safe, exciting, connected, and autonomous. This includes sensor solutions, displays, braking and comfort systems as well as comprehensive expertise in software, architecture platforms, and assistance systems for software-defined vehicles. In the fiscal year 2024 the business areas, which now belong to AUMOVIO, generated sales of 19.6 billion Euro. The company is headquartered in Frankfurt, Germany and has about 87.000 employees in more than 100 locations worldwide. Job Description Development of Security Test Solution Execute automated test scripts for fuzzing, scanning Participate in research for vulnerabilities Write test cases Qualifications C/C# Python Embedded System Basic Cybersecurity attributes Basic Linux commands Additional Information Ready to take your career to the next level? The future of mobility isn't just anyone's job. Make it yours! Join AUMOVIO. Own What's Next.","[""Python"", ""Linux""]","[""Write test cases"", ""Execute automated test scripts for fuzzing, scanning"", ""Participate in research for vulnerabilities""]",[],Software Development,Unknown,indeed,
Graphic Designer and Social Media Intern,Substance,Singapore,,,Internship,,"Substance is seeking a talented and imaginative Graphic Designer and Social Media Intern to assist in crafting visually appealing content that enhances our brand presence across social media platforms. This internship offers an exceptional opportunity to delve into the world of graphic design and digital marketing, allowing you to showcase your design skills while learning the ins and outs of social media strategies. If you are passionate about design and eager to make an impact in the digital space, this is the role for you! Key Responsibilities: Graphic Design: Create eye-catching graphics and assets for social media, pitch decks, website, e-shots, newsletters, and promotional materials that comply with brand guidelines and engage our audience. Social Media Content Development: Collaborate with the marketing team to develop creative social media posts, stories, and campaigns that resonate with our target audience. Trend Research: Stay updated on design trends and best practices for social media to continuously elevate our visual content strategy. Editing and Revisions: Review and edit designs based on feedback from team members, ensuring high-quality output and timely delivery. Performance Analysis: Monitor engagement rates on social media content created and suggest improvements based on performance data. Team Collaboration: Work closely with various international team members to align on project goals and deliver creative solutions that meet marketing objectives. Requirements: Qualifications: Currently pursuing or recently completed a degree in Graphic Design, Visual Arts, Marketing, or a related field. Proficiency in graphic design software such as Adobe Creative Suite (Photoshop, Illustrator, etc.) and familiarity with social media tools. A strong portfolio that displays your design skills and creativity. Excellent attention to detail combined with a strong aesthetic sense. Ability to work independently, manage multiple projects, and meet deadlines in a fast-paced environment. Strong communication and collaboration skills to effectively work with team members. Passion for storytelling through visual media and a keen interest in social media trends. Benefits: Hybrid working in office and home Training & Development Stipend & Performance Bonus Potential for future career growth within the company At Substance, we're all about action, not just talk. If your profile aligns with what we need, you'll hear from us within 1-2 weeks. If not, no fluff—just know we value your interest and will keep you in mind for future roles where your skills can make an impact. We focus on real connections and meaningful matches, so when the right opportunity comes, we'll be ready to make it happen. Getsubstance.co Pte. Ltd. | EA License No: 24C2398",[],"[""Currently pursuing or recently completed a degree in Graphic Design, Visual Arts, Marketing, or a related field"", ""Proficiency in graphic design software such as Adobe Creative Suite and familiarity with social media tools"", ""A strong portfolio that displays your design skills and creativity"", ""Excellent attention to detail combined with a strong aesthetic sense"", ""Ability to work independently, manage multiple projects, and meet deadlines in a fast-paced environment"", ""Strong communication and collaboration skills to effectively work with team members""]","[""Currently pursuing or recently completed a degree"", ""Proficiency in graphic design software such as Adobe Creative Suite""]",Internship,Unknown,indeed,
"Research Software Intern - SLAM, Machine Learning & Sensor Calibration",Motional,Singapore,,,"Full-time, Internship",,"We are seeking highly motivated Master's or PhD students to join our team as a Research Intern to conduct cutting-edge research and development in Localization, Mapping and Calibration. This is an exceptional opportunity to contribute directly to the advancement of autonomous vehicle technology, working alongside a team that is leading the industry in location, mapping and calibration innovation. The internship will take place in our Singapore office and we expect a full-time internship period of at least 5 months. We offer flexible working hours and allow for remote work; however, the candidate will need to reside in Singapore for the duration of the internship. What you'll be doing: Conduct advanced research and development on state-of-the-art state estimation problems, specifically focusing on scalability across city and multi-city environments. Research topics including, but not limited to: SLAM methods for city-scale mapping technologies, outdoor sensor calibration technologies, etc. Work with large-scale internal datasets to demonstrate the effectiveness of your research. Collaborate with different teams to deploy your research results onto autonomous vehicles. Publish the research results in papers and patents. What we are looking for: Currently enrolled in a Master's or PhD program in Computer Science, Electrical Engineering, Robotics, or a similar technical field of study. Strong research background in the field of SLAM, state estimation, and/or sensor calibration, with publications in any of the top-tier conferences (e.g., CVPR, ICCV, ECCV, ICRA, IROS, RSS). Experience in at least one of the following: applying machine learning techniques to mapping or geospatial problems, working with large-scale mapping datasets or systems, utilizing online calibration techniques for autonomous driving or robotics systems, or demonstrating a strong theoretical and practical background in computer vision (especially sensor calibration/SLAM). Strong communication and interpersonal skills. Proficiency in C++/Python coding, having experience in onboard programming, with an understanding of real-time systems is a plus. Previous experience in autonomous driving is preferred. Motional is a driverless technology company making autonomous vehicles a safe, reliable, and accessible reality. We're driven by something more. Our journey is always people first. We aren't just developing driverless cars; we're creating safer roadways, more equitable transportation options, and making our communities better places to live, work, and connect. Our team is made up of engineers, researchers, innovators, dreamers and doers, who are creating a technology with the potential to transform the way we move. Higher purpose, greater impact. We're creating first-of-its-kind technology that will transform transportation. To do so successfully, we must design for everyone in our cities and on our roads. We believe in building a great place to work through a progressive, global culture that is diverse, inclusive, and ensures people feel valued at every level of the organization. Diversity helps us to see the world differently; it's not only good for our business, it's the right thing to do. Scale up, not starting up. Our team is behind some of the industry's largest leaps forward, including the first fully-autonomous cross-country drive in the U.S, the launch of the world's first robotaxi pilot, and operation of the world's longest-standing public robotaxi fleet. We're driven to scale; we're moving towards commercialization of our technology, and we need team members who are ready to embrace change and challenges. Formed as a joint venture between Hyundai Motor Group and Aptiv, Motional is fundamentally changing how people move through their lives. Headquartered in Boston, Motional has operations in the U.S and Asia. For more information, visit www.Motional.com and follow us on Twitter, LinkedIn, Instagram and YouTube. Motional AD Inc. is an EOE. We celebrate diversity and are committed to creating an inclusive environment for all employees. To comply with Federal Law, we participate in E-Verify. All newly-hired employees are queried through this electronic system established by the DHS and the SSA to verify their identity and employment eligibility.","[""Machine Learning"", ""Python"", ""C++""]","[""Currently enrolled in a Master's or PhD program in Computer Science, Electrical Engineering, Robotics, or a similar technical field of study"", ""Strong communication and interpersonal skills"", ""Publications in top-tier conferences (e.g., CVPR, ICCV, ECCV, ICRA, IROS, RSS)"", ""Previous experience in autonomous driving""]","[""Need to reside in Singapore for the duration of the internship"", ""Must be currently enrolled in a Master's or PhD program""]",Research Internship,Unknown,indeed,
Intern - IT Quality Assurance,WSA APAC,Singapore 539775,,,Internship,,"Driven by the passion to improve the quality of people's lives, WS Audiology continues to grow as the market leader in the hearing aid industry. With our commitment to increase penetration in an underserved hearing care market, we want to accelerate our business transformation to reach more people, more effectively. As an IT Quality & Documentation Intern, you will support the creation, management, and digitization of IT policies, SOPs, and work instructions, while assisting in training new joiners and maintaining the LMS. You will liaise with IT teams and analysts to ensure compliance and quality in documentation and reporting processes. This role offers valuable exposure to IT quality management, process improvement, and documentation practices within a regulated environment. What you will do Process new and revised IT policies, Standard Operating Procedures (SOPs), and Work Instructions from inception to release Produce periodic IT Quality newsletters to communicate key updates, activities, and accomplishments Manage documentation in the Learning Management System (LMS), ensuring timely updates and training delivery to the right audience Support good documentation practices by training new joiners, digitizing legacy paper documents, and coordinating with vendors for secure storage Assist analysts with non-product computer systems and IT General Controls reporting activities. What you bring Currently pursuing a degree in Computer Science, Information Systems, Business Administration, or a related field Strong analytical and problem-solving skills with proficiency in MS Office (Word, PowerPoint, Excel — including VLOOKUP and pivot tables) Ability to handle issues from beginning to closure Knowledge of Computer Software Validation (CSV), Change Release Management, or regulated software environments is a plus Familiarity with software development methodologies, client-server architecture, AI, or cloud-based software is a plus. Who we are At WS Audiology, we provide innovative hearing aids and hearing health services. Together with our 12,000 colleagues in 130 countries, we invite you to help unlock human potential by bringing back hearing for millions of people around the world. With us, you will become part of a truly global company where we care for one another, welcome diversity and celebrate our successes. Sounds wonderful? We can't wait to hear from you. WS Audiology is an equal-opportunity employer and committed to creating an inclusive employee experience for all. Regardless of race, color, religion, national origin, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, disability, military or veteran status we firmly believe that our work is at its best when everyone feels free to be their most authentic self.","[""Excel""]","[""Currently pursuing a degree in Computer Science, Information Systems, Business Administration, or a related field""]",[],IT Quality & Documentation Intern,Unknown,indeed,
Software Engineer Intern,The Frank Network,Singapore,,,Internship,,"Company The Frank Network franknetwork.co Designation Software Engineer Intern Date Listed 14 Jan 2026 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 6 Months Profession IT / Information Technology Industry Computer and IT Location Name Sin Ming Lane, Midview City, Singapore Address 18 Sin Ming Ln, Singapore 573960 Map Allowance / Remuneration $800 - 1,500 monthly Company Profile The Frank Network is a lean startup building modern digital solutions with a strong focus on execution and ownership. We offer a flexible work environment with WFH Thursdays, a stacked pantry, and a culture that values trust, transparency, and impact. Job Description What You'll Do You'll work closely with the team to build and improve web and mobile applications. This role offers hands-on exposure to real production systems, from backend APIs to mobile apps and automation. What You'll Be Exposed To Web and mobile app development (Flutter) Backend APIs using Python Real-time updates and data syncing Automation using AI agents and workflows Working in a fast-paced startup environment with real ownership Who This Is For Students or fresh graduates interested in software development Comfortable with basic programming concepts Curious, willing to learn, and not afraid to experiment Application Instructions Please apply for this position by submitting your text CV using InternSG. Kindly note that only shortlisted candidates will be notified.","[""Python""]","[""Students or fresh graduates interested in software development"", ""Comfortable with basic programming concepts"", ""Curious, willing to learn, and not afraid to experiment""]",[],Software Engineer Intern,Unknown,indeed,
Software Engineer – Intern (Asia),Citadel Enterprise Americas,Singapore,,,Internship,,"At Citadel, our engineers work in small teams to turn the best ideas into high-performing and resilient technology. With short development cycles, work rapidly goes into production. As an engineer, you can create systems architectures, develop platforms and build web frameworks. You'll have access to state-of-the-art tools and apply innovative techniques including distributed computing, natural language processing, machine learning and more. As an intern, you'll get to challenge the impossible in technology through a summer program that will allow you to collaborate and connect with senior team members. In addition, you'll get the opportunity to network and socialize with peers throughout the internship. Your Objectives: Create technological tools that bring trading strategies to life Develop high-performance, large data research platforms Work in small teams to build the future of finance Your Skills & Talents: Bachelor's, master's or PhD in computer science, computer engineering or related fields Exceptional programming and design skills Strong analytical skills and familiarity with probability and statistics Ability to communicate effectively in a collaborative, complex and highly technical team environment Intellectual curiosity and passion for solving challenging problems using technology Opportunities available in Singapore. About Citadel Citadel is one of the world's leading alternative investment managers. We manage capital on behalf of many of the world's preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.",[],"[""Bachelor's, master's or PhD in computer science, computer engineering or related fields""]",[],Software Engineering,Unknown,indeed,
AI Software Engineer Intern,Embed Financial Group Holdings,Singapore,,,Internship,,"Company Embed Financial Group Holdings efgh.xyz Designation AI Software Engineer Intern Date Listed 09 Jan 2026 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 3 Months Profession IT / Information Technology Industry Finance Location Name Singapore Allowance / Remuneration $800 - 1,500 monthly Company Profile EFGH is a Singapore-founded financial infrastructure company operating across Africa. Its mission is to bridge the strength of Singapore's governance and technology with the scale and momentum of Africa's digital economy. Through its proprietary Finternet platform, EFGH integrates protection, savings, and access to credit into the everyday transactions of millions. Its purpose is clear: to build financial systems that deliver both prosperity and protection. Job Description About the Role EFGH is currently seeking a Artificial Intelligence Software Engineer Intern to join our Development Team. The ideal candidate is passionate and eager to contribute to our innovative platform. Please note: This is not a data analyst/data scientist role. You should be able to build software which integrates with artificial intelligence technologies. Key Responsibilities Assist in the development and maintenance of our platforms, with a focus on our artificial intelligence efforts e.g. building data processing pipelines and optimising LLM prompts. Participate in code reviews and contribute to continuous improvements in development processes. You May Be a Good Fit If You Have Currently pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field. Experience with React (Next.JS), Python (Django). Experience working with LLMs and RAG. Familiarity with AWS or DevOps is a bonus. Why You'll Love Working With Us Gain hands-on experience in a fast-growing startup environment where your contributions make a real impact. Work closely with a supportive, cross-functional team that values creativity and collaboration. If you have a project or similar experience, please bring it up during the interview, we would love to hear about it! Application Instructions Please apply for this position by submitting your text CV using InternSG. Kindly note that only shortlisted candidates will be notified.","[""React"", ""Python"", ""Aws""]","[""Currently pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field""]",[],IT / Information Technology,Unknown,indeed,
C++ Software Engineer Intern,Venti Technologies,Singapore,,,Internship,,"A world empowered by autonomy. We build robotic vehicles to improve logistics safety, forge a greener Earth, and enhance human lives. We are a closely-knit team aspiring to change the world through disruptive technology. We are innovators. We are tinkerers. We are problem-solvers. And we have a fair amount of magic dust up our sleeves. We have a plan for fleet-level deployment of autonomous vehicles, and we are looking for the best-of-the-best to join us in making this a reality. About Venti Technologies Based in the U.S. and Asia, Venti Technologies is the leader in safe-speed autonomous logistics systems, developing the future of goods transportation. Using rigorous mathematics, deep learning, and theoretically- grounded algorithms, Venti has a proprietary collection of autonomy technologies including a suite of powerful logistics algorithms. Venti's proven value proposition of saving costs, increasing vehicle utilization, and improving safety is recognized by customers and driving growth. Launched in 2018, Venti brings together an unsurpassed team internationally. The company has autonomous systems deployed in Asia for industrial and logistics sites and a growing pipeline. Venti has offices in Cambridge (Massachusetts, USA), Suzhou (China), and Singapore – our Asian headquarters. Role responsibilities Design and develop clean, fast, reliable code Implement advanced features for autonomous vehicles Uphold code quality continuous integration, automated testing and code reviews Create technical design documents Required experience Current Students studying in Bachelor's or Master's degree in Computer Science, Robotics, or related fields Experience writing production-quality code in modern C++ Experience developing in a Linux environment Strong organization and communication skills Flexible problem-solver and is comfortable working under pressure and in a fast-paced environment. Experience in GTest Framework. Experience with ROS or other similar middleware Bonus experience Experience with real world safety critical applications Experience deploying software tools and/or metrics We are looking for students with ability to commit to 3-6 months internship with us!","[""C++"", ""Linux""]","[""Current Students studying in Bachelor's or Master's degree in Computer Science, Robotics, or related fields"", ""Experience writing production-quality code in modern C++"", ""Experience developing in a Linux environment"", ""Strong organization and communication skills"", ""Flexible problem-solver and is comfortable working under pressure and in a fast-paced environment""]","[""Internship duration: 3-6 months""]",Software Development,Unknown,indeed,
"Intern, Software Development",Bosch Group,Singapore,,,Internship,,"Company Description About Bosch Group The Bosch Group is a leading global supplier of technology and services. It employs roughly 418,000 associates worldwide. The company generated sales of 90.3 billion euros in 2024. Its operations are divided into four business sectors: Mobility, Industrial Technology, Consumer Goods, and Energy and Building Technology. With technology that is ""Invented for life,"" Bosch wants to help improve quality of life and conserve natural resources. The Bosch Group comprises Robert Bosch GmbH and its roughly 490 subsidiary and regional companies in over 60 countries. At 136 locations across the globe, Bosch employs some 87,000 associates in research and development. About Bosch Energy and Building Solutions Bosch Energy and Building Solutions is a division of Bosch Building Technologies. As a system integrator, it supports clients in Singapore by providing consulting, installation, and service. With a team of over 90 associates and approximately 200 customers, Bosch Energy and Building Solutions in Singapore is recognized as one of the leading installation contractors. In addition to developing, implementing, and servicing integrated building solutions, the team also delivers exceptional care to customers across a diverse range of industries. Job Description Role Overview We are seeking an enthusiastic Software Developer Intern who is currently pursuing a degree or diploma in Computer Science or a related field to join Bosch for a fulfilling internship opportunity! This internship will provide valuable hands-on experience in a corporate environment, allowing you to contribute to real projects while learning from experienced professional. As an Intern, Software Development, you will support the following key tasks in collaboration with experience team members. What you will do (Key Responsibilities) Assist in the development of software solutions using modern technologies, including performing testing and preparing documentation. Collaborate with development and testing teams to understand requirements and contribute to coding, testing, and documentation efforts. Learn and apply best practices in software engineering, including coding standards and design principles. Participate in debugging and troubleshooting activities under guidance. Gain exposure to real-world projects and contribute to product releases. Contribute to continuous improvement, automation, or digitalization initiatives Qualifications What We're Looking For (Qualifications & Skills) Students pursuing a second year Degree or Diploma in Computer Science or related field. Interest in learning and working with the following technologies and concepts: Programming & Frameworks: C#.NET, WPF, .NET Framework 4.5 or above, .NET Core, ASP.NET, Web API Database: SQL, SQL Server Design Principles: SOLID Principles, Object-Oriented Programming (OOP) Web Development: React.js / Vue.js, TypeScript (Good to know: Redux, RTK, React Query, Axios, Tailwind CSS / Material UI) APIs & Security: RESTful API, OAuth2/JWT, Swagger ORM Tools: Entity Framework / Dapper Version Control & Tools: TFS Strong willingness to learn and adapt to new technologies. Good problem-solving skills and attention to detail. Ability to work collaboratively in a team environment. Good communication skills and a strong team player. Additional Information Why Intern With Us? We don't just offer jobs—we build careers. At Bosch, you'll benefit from: Real-world experience apply classroom knowledge to practical, real-life work scenarios Skill-development build technical and soft skills while being part of the team ""in-action"" Opportunities to network and learn from industry professionals Inclusive culture built on respect, collaboration, and empowerment Next Steps Our recruitment process typically includes: Application screening Interview(s) with Hiring Manager, Business Leaders and HR Ready to grow your career with Bosch? Apply Now!","[""Sql"", ""React""]","[""Students pursuing a second year Degree or Diploma in Computer Science or related field."", ""Interest in learning and working with the following technologies and concepts:"", ""Strong willingness to learn and adapt to new technologies."", ""Good problem-solving skills and attention to detail."", ""Ability to work collaboratively in a team environment."", ""Good communication skills and a strong team player.""]",[],Software Development,Unknown,indeed,
Full Stack Software Engineer Intern,Embed Financial Group Holdings,Singapore,,,Internship,,"Company Embed Financial Group Holdings efgh.xyz Designation Full Stack Software Engineer Intern Date Listed 12 Jan 2026 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 3 Months Profession IT / Information Technology Industry Finance Location Name Singapore Allowance / Remuneration $800 - 1,500 monthly Company Profile EFGH is a Singapore-founded financial infrastructure company operating across Africa. Its mission is to bridge the strength of Singapore's governance and technology with the scale and momentum of Africa's digital economy. Through its proprietary Finternet platform, EFGH integrates protection, savings, and access to credit into the everyday transactions of millions. Its purpose is clear: to build financial systems that deliver both prosperity and protection. Job Description About the Role EFGH is currently seeking a Full Stack Software Engineer Intern to join our Development Team. The ideal candidate is passionate and eager to contribute to our innovative platform. Key Responsibilities Assist in the development and maintenance of our platforms, contributing to both front-end and back-end. Participate in code reviews and contribute to continuous improvements in development processes. You May Be a Good Fit If You Have Currently pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field. Experience with React (Next.JS), Python (Django). Familiarity with AWS or DevOps is a bonus. Why You'll Love Working With Us Gain hands-on experience in a fast-growing startup environment where your contributions make a real impact. Work closely with a supportive, cross-functional team that values creativity and collaboration. If you have a project or similar experience, please bring it up during the interview, we would love to hear about it! Application Instructions Please apply for this position by submitting your text CV using InternSG. Kindly note that only shortlisted candidates will be notified.","[""React"", ""Python""]","[""Currently pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field""]",[],Full Stack Software Engineer Intern,Unknown,indeed,
[2026 Internship] CAD Software Intern,聯發科技,Singapore,,,Internship,,"MediaTek leads the market in chipset technology for Smart TVs, Voice Assistant Devices (VAD), Android tablets, feature phones, Optical and Bluray DVD players, and we're number two globally in mobile phones . You may not know it, but our chips and technology are already likely part of your everyday life. You will find us in 20 percent of homes globally and nearly 1 of every 3 cell phones is powered. As a CAD Software Engineer intern, you will be an active participant in the team responsible for ensuring our CAD flow & methodology is efficient, lean and reliable. You will be involved in developing automation to improve the efficiency and reliability of CAD flow. You can collaborate cross functionally with other teams to deliver on our goals. We will create an individual training plan to help you develop the specific skills and k now ledge required for your role. Microelectronic Engineering students with a strong interest and passion in coding will be a good fit but Computer Science students are also welcomed to apply. [What's in it for you?] • Involve in various stages of the software development lifecycle, including requirements gathering, design and implementation, and deployment. • Develop, improve and maintain CAD flow & methodology for ensuring correct electrical and logical functionality and manufacturability. • Work closely with team members and develop solutions using OpenSource Software technology. • Directly involved in our physical verification methodology efforts, collaborating right alongside our internal multifunctional teams to ensure that our products achieve best in class PPA (Power, Performance & Area) and time to market. [What you will bring] • You are pursuing a degree in Computer, Software or Engineering related studies • You have knowledge in one of the programming languages and are willing to increase skills in this area (Python, Perl, Tcl or JavaScript) • You have a passion in coding and eager to learn • You enjoy collaborating with others to find innovative solutions • You think logically, willing to self learn and research, and take a creative approach to problem solving • You have basic IC design knowledge (this is a plus but not mandatory)","[""Python"", ""Javascript"", ""Java""]","[""You are pursuing a degree in Computer, Software or Engineering related studies"", ""You have knowledge in one of the programming languages and are willing to increase skills in this area (Python, Perl, Tcl or JavaScript)"", ""You have a passion in coding and eager to learn""]",[],Software Development,Unknown,indeed,
Software Engineer Intern (AI/Automation),HydraX Pte Ltd,Singapore,,,Internship,,"Employment Type: Full-time | Location: Singapore Job Description We are looking for an Software Engineer Intern (AI/Automation) to support the development of AI-driven solutions for software quality assurance. In this role, you will design and implement automation pipelines, leverage Large Language Models for requirement analysis, and integrate intelligent workflows into QA processes. This internship provides a strong foundation in applying advanced AI techniques to real-world engineering challenges, with opportunities to collaborate closely with cross-functional teams. Responsibilities Develop scripts to ingest and parse various document formats (e.g., Confluence pages via API, PDFs, Word documents). Design, implement, and refine prompt strategies for Large Language Models to accurately extract requirements, user stories, and acceptance criteria from PRDs. Build and manage an automation pipeline using frameworks like LangFlow, or by developing lightweight orchestration directly in Python. Integrate the AI pipeline with test management tools (Zephyr Scale, Jira) to programmatically create, update, and organize test cases. Research and experiment with prompt engineering techniques (e.g., Few-Shot, Chain-of-Thought, Retrieval-Augmented Generation) to improve accuracy and reliability. Conduct basic validation of generated test cases against PRDs to ensure logical consistency. Collaborate with the PM / QA team to align AI-generated test cases with existing Cucumber/Gherkin frameworks. Document the system architecture, workflows, and best practices for maintainability. Qualifications & Requirements Strong programming skills in Python (or another scripting language), with a solid understanding of data structures (JSON). Foundational knowledge of working with REST APIs. Strong interest in AI-driven automation and building practical, innovative QA solutions. Good written communication skills for documenting work. Experience working with Large Language Models and prompt engineering. Familiarity with n8n or LangFlow for AI orchestration. Knowledge of Cucumber/Gherkin syntax and test automation concepts. Hands-on experience with Zephyr Scale or other test management platforms. Familiarity with version control (GitHub). Exposure to vector databases (e.g., Pinecone, Weaviate, Milvus, ChromaDB) for embedding storage and retrieval. Understanding of the Software Development Life Cycle (SDLC) and the role of QA in product delivery. Prior academic, project, or internship experience in AI, automation, or QA engineering.","[""Python""]","[""strong programming skills in Python (or another scripting language)"", ""foundational knowledge of working with REST APIs"", ""good written communication skills for documenting work"", ""experience working with Large Language Models and prompt engineering"", ""familiarity with n8n or LangFlow for AI orchestration"", ""knowledge of Cucumber/Gherkin syntax and test automation concepts"", ""hands-on experience with Zephyr Scale or other test management platforms""]","[""experience working with Large Language Models and prompt engineering"", ""familiarity with version control (GitHub)"", ""exposure to vector databases (e.g., Pinecone, Weaviate, Milvus, ChromaDB) for embedding storage and retrieval"", ""understanding of the Software Development Life Cycle (SDLC) and the role of QA in product delivery""]",Software Engineer Intern (AI/Automation),Unknown,indeed,
